ptero_taxa;family
Aerotitan_sudamericanus;Azhdarchidae
Aetodactylus_halli;Ornithocheiridae
Alamodactylus_byrdi;Pterodactyloidea
Alanqa_saharica;Azhdarchidae
Alcione_elainus;NO_FAMILY_SPECIFIED
Allkaruen_koi;NO_FAMILY_SPECIFIED
Angustinaripterus_longicephalus;Rhamphorhynchidae
Anhanguera_araripensis;NO_FAMILY_SPECIFIED
Anhanguera_blittersdorffi;NO_FAMILY_SPECIFIED
Anhanguera_piscator;NO_FAMILY_SPECIFIED
Anhanguera_santanae;NO_FAMILY_SPECIFIED
Anurognathus_ammoni;Anurognathidae
Arambourgiania_philadelphiae;Azhdarchidae
Ardeadactylus_longicollum;NO_FAMILY_SPECIFIED
Aurorazhdarcho_primordius;Protazhdarchidae
Austriadactylus_cristatus;NO_FAMILY_SPECIFIED
Azhdarcho_lancicollis;Azhdarchidae
Bakonydraco_galaczi;Azhdarchidae
Batrachognathus_volans;Anurognathidae
Beipiaopterus_chenianus;NO_FAMILY_SPECIFIED
Bennettazhia_oregonensis;Azhdarchidae
Boreopterus_cuiae;Boreopteridae
Brasileodactylus_araripensis;NO_FAMILY_SPECIFIED
Cacibupteryx_caribensis;Rhamphorhynchidae
Caiuajara_dobruskii;Tapejaridae
Campylognathoides_liasicus;Campylognathoididae
Campylognathoides_zitteli;Campylognathoididae
Caviramus_schesaplanensis;NO_FAMILY_SPECIFIED
Cearadactylus_atrox;NO_FAMILY_SPECIFIED
Changchengopterus_pani;NO_FAMILY_SPECIFIED
Chaoyangopterus_zhangi;Azhdarchidae
Cimoliopterus_cuvieri;NO_FAMILY_SPECIFIED
Cimoliopterus_dunni;NO_FAMILY_SPECIFIED
Coloborhynchus_clavirostris;Anhangueridae
Cretornis_hlavaci;NO_FAMILY_SPECIFIED
Ctenochasma_elegans;NO_FAMILY_SPECIFIED
Ctenochasma_porocristata;NO_FAMILY_SPECIFIED
Cuspicephalus_scarfi;NO_FAMILY_SPECIFIED
Cycnorhamphus_suevicus;NO_FAMILY_SPECIFIED
Darwinopterus_linglongtaensis;NO_FAMILY_SPECIFIED
Darwinopterus_modularis;NO_FAMILY_SPECIFIED
Darwinopterus_robustodens;NO_FAMILY_SPECIFIED
Dendrorhynchoides_curvidentatus;Anurognathidae
Dendrorhynchoides_mutoudengensis;Anurognathidae
Dimorphodon_macronyx;Dimorphodontidae
Domeykodactylus_ceciliae;Dsungaripteridae
Dorygnathus_banthensis;Rhamphorhynchidae
Douzhanopterus_zhengi;NO_FAMILY_SPECIFIED
Dsungaripterus_weii;Dsungaripteridae
Elanodactylus_prolatus;NO_FAMILY_SPECIFIED
Eoazhdarcho_liaoxiensis;Azhdarchidae
Eopteranodon_lii;NO_FAMILY_SPECIFIED
Eosipterus_yangi;NO_FAMILY_SPECIFIED
Eudimorphodon_ranzii;Campylognathoididae
Eudimorphodon_rosenfeldi;Campylognathoididae
Eurazhdarcho_langendorfensis;Azhdarchidae
Europejara_olcadesorum;NO_FAMILY_SPECIFIED
Feilongus_youngi;NO_FAMILY_SPECIFIED
Fenghuangopterus_lii;Scaphognathidae
Gallodactylus_canjuersensis;NO_FAMILY_SPECIFIED
Germanodactylus_cristatus;NO_FAMILY_SPECIFIED
Germanodactylus_rhamphastinus;NO_FAMILY_SPECIFIED
Gnathosaurus_macrurus;NO_FAMILY_SPECIFIED
Gnathosaurus_subulatus;NO_FAMILY_SPECIFIED
Guidraco_venator;NO_FAMILY_SPECIFIED
Haopterus_gracilis;Mimodactylidae
Harpactognathus_gentryii;NO_FAMILY_SPECIFIED
Hongshanopterus_lacustris;NO_FAMILY_SPECIFIED
Huanhepterus_quingyangensis;NO_FAMILY_SPECIFIED
Huaxiapterus_benxiensis;Tapejaridae
Huaxiapterus_jii;Tapejaridae
Istiodactylus_latidens;NO_FAMILY_SPECIFIED
Istiodactylus_sinensis;NO_FAMILY_SPECIFIED
Jeholopterus_ningchengensis;Anurognathidae
Jidapterus_edentus;Tapejaridae
Kepodactylus_insperatus;NO_FAMILY_SPECIFIED
Kryptodrakon_progenitor;NO_FAMILY_SPECIFIED
Kunpengopterus_sinensis;Wukongopteridae
Lacusovagus_magnificens;Chaoyangopteridae
Liaodactylus_primus;Ctenochasmatidae
Liaoningopterus_gui;NO_FAMILY_SPECIFIED
Liaoxipterus_brachyognathus;Istiodactylidae
Lonchodectes_compressirostris;NO_FAMILY_SPECIFIED
Lonchodraco_giganteus;Lonchodraconidae
Longchengpterus_zhaoi;NO_FAMILY_SPECIFIED
Ludodactylus_sibbicki;NO_FAMILY_SPECIFIED
Microtuban_altivolans;NO_FAMILY_SPECIFIED
Moganopterus_zhuiana;Boreopteridae
Montanazhdarcho_minor;Azhdarchidae
Muzquizopteryx_coahuilensis;Nyctosauridae
Nemicolopterus_crypticus;NO_FAMILY_SPECIFIED
Nesodactylus_hesperius;Rhamphorhynchidae
Noripterus_complicidens;Dsungaripteridae
Noripterus_parvus;Dsungaripteridae
Normannognathus_wellnhoferi;NO_FAMILY_SPECIFIED
Nurhachius_ignaciobritoi;NO_FAMILY_SPECIFIED
Nyctosaurus_gracilis;NO_FAMILY_SPECIFIED
Nyctosaurus_lamegoi;NO_FAMILY_SPECIFIED
Nyctosaurus_nanus;NO_FAMILY_SPECIFIED
Orientognathus_chaoyangensis;Rhamphorhynchidae
Ornithocheirus_simus;NO_FAMILY_SPECIFIED
Ornithostoma_sedgwicki;NO_FAMILY_SPECIFIED
Parapsicephalus_purdoni;NO_FAMILY_SPECIFIED
Phosphatodraco_mauritanicus;Azhdarchidae
Piksi_barbarulna;NO_FAMILY_SPECIFIED
Plataleorhynchus_streptophorodon;NO_FAMILY_SPECIFIED
Preondactylus_buffarinii;NO_FAMILY_SPECIFIED
Pteranodon_longiceps;NO_FAMILY_SPECIFIED
Pteranodon_sternbergi;NO_FAMILY_SPECIFIED
Pterodactylus_antiquus;NO_FAMILY_SPECIFIED
Pterodactylus_kochi;NO_FAMILY_SPECIFIED
Pterodaustro_guinazui;NO_FAMILY_SPECIFIED
Pterorhynchus_wellnhoferi;Rhamphorhynchidae
Qinglongopterus_guoi;Rhamphorhynchidae
Quetzalcoatlus_northropi;Azhdarchidae
Radiodactylus_langstoni;NO_FAMILY_SPECIFIED
Raeticodactylus_filisurensis;Campylognathoididae
Rhamphinion_jenkinsi;NO_FAMILY_SPECIFIED
Rhamphorhynchus_muensteri;Rhamphorhynchidae
Scaphognathus_crassirostris;Rhamphorhynchidae
Scleromochlus_taylori;Lagerpetidae
Sericipterus_wucaiwanensis;Rhamphorhynchidae
Shenzhoupterus_chaoyangensis;Chaoyangopteridae
Simurghia_robusta;NO_FAMILY_SPECIFIED
Sinopterus_dongi;Tapejaridae
Sinopterus_gui;Tapejaridae
Sordes_pilosus;Rhamphorhynchidae
Tapejara_wellnhoferi;Tapejaridae
Tethydraco_regalis;Pteranodontidae
Thalassodromeus_sethi;Thalassodromidae
Tropeognathus_mesembrinus;Anhangueridae
Tupandactylus_imperator;Tapejaridae
Tupandactylus_navigans;Tapejaridae
Tupuxuara_leonardii;Thalassodromidae
Tupuxuara_longicristatus;Thalassodromidae
Vectidraco_daisymorrisae;NO_FAMILY_SPECIFIED
Volgadraco_bogolubovi;Pteranodontidae
Wukongopterus_lii;NO_FAMILY_SPECIFIED
Zhejiangopterus_linhaiensis;Azhdarchidae
